date,data
1/06/1979,0
1/07/1979,0.2
1/08/1979,0.3
1/09/1979,0.5
1/10/1979,0.5
1/11/1979,0.6
1/12/1979,0.6
1/01/1980,0.5
1/02/1980,0.3
1/03/1980,0.4
1/04/1980,0.5
1/05/1980,0.5
1/06/1980,0.3
1/07/1980,0
1/08/1980,-0.1
1/09/1980,0
1/10/1980,0.1
1/11/1980,0
1/12/1980,-0.3
1/01/1981,-0.5
1/02/1981,-0.5
1/03/1981,-0.4
1/04/1981,-0.3
1/05/1981,-0.3
1/06/1981,-0.3
1/07/1981,-0.2
1/08/1981,-0.2
1/09/1981,-0.1
1/10/1981,-0.2
1/11/1981,-0.1
1/12/1981,0
1/01/1982,0.1
1/02/1982,0.2
1/03/1982,0.5
1/04/1982,0.7
1/05/1982,0.7
1/06/1982,0.8
1/07/1982,1.1
1/08/1982,1.6
1/09/1982,2
1/10/1982,2.2
1/11/1982,2.2
1/12/1982,2.2
1/01/1983,1.9
1/02/1983,1.5
1/03/1983,1.3
1/04/1983,1.1
1/05/1983,0.7
1/06/1983,0.3
1/07/1983,-0.1
1/08/1983,-0.5
1/09/1983,-0.8
1/10/1983,-1
1/11/1983,-0.9
1/12/1983,-0.6
1/01/1984,-0.4
1/02/1984,-0.3
1/03/1984,-0.4
1/04/1984,-0.5
1/05/1984,-0.4
1/06/1984,-0.3
1/07/1984,-0.2
1/08/1984,-0.2
1/09/1984,-0.6
1/10/1984,-0.9
1/11/1984,-1.1
1/12/1984,-1
1/01/1985,-0.8
1/02/1985,-0.8
1/03/1985,-0.8
1/04/1985,-0.8
1/05/1985,-0.6
1/06/1985,-0.5
1/07/1985,-0.5
1/08/1985,-0.4
1/09/1985,-0.3
1/10/1985,-0.3
1/11/1985,-0.4
1/12/1985,-0.5
1/01/1986,-0.5
1/02/1986,-0.3
1/03/1986,-0.2
1/04/1986,-0.1
1/05/1986,0
1/06/1986,0.2
1/07/1986,0.4
1/08/1986,0.7
1/09/1986,0.9
1/10/1986,1.1
1/11/1986,1.2
1/12/1986,1.2
1/01/1987,1.2
1/02/1987,1.1
1/03/1987,0.9
1/04/1987,1
1/05/1987,1.2
1/06/1987,1.5
1/07/1987,1.7
1/08/1987,1.6
1/09/1987,1.5
1/10/1987,1.3
1/11/1987,1.1
1/12/1987,0.8
1/01/1988,0.5
1/02/1988,0.1
1/03/1988,-0.3
1/04/1988,-0.9
1/05/1988,-1.3
1/06/1988,-1.3
1/07/1988,-1.1
1/08/1988,-1.2
1/09/1988,-1.5
1/10/1988,-1.8
1/11/1988,-1.8
1/12/1988,-1.7
1/01/1989,-1.4
1/02/1989,-1.1
1/03/1989,-0.8
1/04/1989,-0.6
1/05/1989,-0.4
1/06/1989,-0.3
1/07/1989,-0.3
1/08/1989,-0.2
1/09/1989,-0.2
1/10/1989,-0.2
1/11/1989,-0.1
1/12/1989,0.1
1/01/1990,0.2
1/02/1990,0.3
1/03/1990,0.3
1/04/1990,0.3
1/05/1990,0.3
1/06/1990,0.3
1/07/1990,0.4
1/08/1990,0.4
1/09/1990,0.3
1/10/1990,0.4
1/11/1990,0.4
1/12/1990,0.4
1/01/1991,0.3
1/02/1991,0.2
1/03/1991,0.3
1/04/1991,0.5
1/05/1991,0.6
1/06/1991,0.7
1/07/1991,0.6
1/08/1991,0.6
1/09/1991,0.8
1/10/1991,1.2
1/11/1991,1.5
1/12/1991,1.7
1/01/1992,1.6
1/02/1992,1.5
1/03/1992,1.3
1/04/1992,1.1
1/05/1992,0.7
1/06/1992,0.4
1/07/1992,0.1
1/08/1992,-0.1
1/09/1992,-0.2
1/10/1992,-0.3
1/11/1992,-0.1
1/12/1992,0.1
1/01/1993,0.3
1/02/1993,0.5
1/03/1993,0.7
1/04/1993,0.7
1/05/1993,0.6
1/06/1993,0.3
1/07/1993,0.3
1/08/1993,0.2
1/09/1993,0.1
1/10/1993,0
1/11/1993,0.1
1/12/1993,0.1
1/01/1994,0.1
1/02/1994,0.2
1/03/1994,0.3
1/04/1994,0.4
1/05/1994,0.4
1/06/1994,0.4
1/07/1994,0.4
1/08/1994,0.6
1/09/1994,0.7
1/10/1994,1
1/11/1994,1.1
1/12/1994,1
1/01/1995,0.7
1/02/1995,0.5
1/03/1995,0.3
1/04/1995,0.1
1/05/1995,0
1/06/1995,-0.2
1/07/1995,-0.5
1/08/1995,-0.8
1/09/1995,-1
1/10/1995,-1
1/11/1995,-1
1/12/1995,-0.9
1/01/1996,-0.8
1/02/1996,-0.6
1/03/1996,-0.4
1/04/1996,-0.3
1/05/1996,-0.3
1/06/1996,-0.3
1/07/1996,-0.3
1/08/1996,-0.4
1/09/1996,-0.4
1/10/1996,-0.4
1/11/1996,-0.5
1/12/1996,-0.5
1/01/1997,-0.4
1/02/1997,-0.1
1/03/1997,0.3
1/04/1997,0.8
1/05/1997,1.2
1/06/1997,1.6
1/07/1997,1.9
1/08/1997,2.1
1/09/1997,2.3
1/10/1997,2.4
1/11/1997,2.4
1/12/1997,2.2
1/01/1998,1.9
1/02/1998,1.4
1/03/1998,1
1/04/1998,0.5
1/05/1998,-0.1
1/06/1998,-0.8
1/07/1998,-1.1
1/08/1998,-1.3
1/09/1998,-1.4
1/10/1998,-1.5
1/11/1998,-1.6
1/12/1998,-1.5
1/01/1999,-1.3
1/02/1999,-1.1
1/03/1999,-1
1/04/1999,-1
1/05/1999,-1
1/06/1999,-1.1
1/07/1999,-1.1
1/08/1999,-1.2
1/09/1999,-1.3
1/10/1999,-1.5
1/11/1999,-1.7
1/12/1999,-1.7
1/01/2000,-1.4
1/02/2000,-1.1
1/03/2000,-0.8
1/04/2000,-0.7
1/05/2000,-0.6
1/06/2000,-0.6
1/07/2000,-0.5
1/08/2000,-0.5
1/09/2000,-0.6
1/10/2000,-0.7
1/11/2000,-0.7
1/12/2000,-0.7
1/01/2001,-0.5
1/02/2001,-0.4
1/03/2001,-0.3
1/04/2001,-0.3
1/05/2001,-0.1
1/06/2001,-0.1
1/07/2001,-0.1
1/08/2001,-0.2
1/09/2001,-0.3
1/10/2001,-0.3
1/11/2001,-0.3
1/12/2001,-0.1
1/01/2002,0
1/02/2002,0.1
1/03/2002,0.2
1/04/2002,0.4
1/05/2002,0.7
1/06/2002,0.8
1/07/2002,0.9
1/08/2002,1
1/09/2002,1.2
1/10/2002,1.3
1/11/2002,1.1
1/12/2002,0.9
1/01/2003,0.6
1/02/2003,0.4
1/03/2003,0
1/04/2003,-0.3
1/05/2003,-0.2
1/06/2003,0.1
1/07/2003,0.2
1/08/2003,0.3
1/09/2003,0.3
1/10/2003,0.4
1/11/2003,0.4
1/12/2003,0.4
1/01/2004,0.3
1/02/2004,0.2
1/03/2004,0.2
1/04/2004,0.2
1/05/2004,0.3
1/06/2004,0.5
1/07/2004,0.6
1/08/2004,0.7
